,title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published,0
10,Dow Jones Holds Gains While Tech Fades; Elon Musk Twitter Woes Increase,https://www.investors.com/market-trend/stock-market-today/dow-jones-holds-gain-elon-musk-slashes-twitter-value-to-half-before-twitter-source-code-leak/,Dow Jones Holds Gains While Tech Fades. Elon Musk Twitter Woes ... Investor's Business Daily ...,0.069772,Neutral,,0.216672,Somewhat-Bullish,20230327T161700,"{'label': 'neutral', 'score': 0.6510549783706665}"
11,Delta passenger arrested for exiting the plane on the emergency slide just before LAX takeoff,https://www.marketwatch.com/story/delta-passenger-arrested-for-exiting-the-plane-on-the-emergency-slide-just-before-lax-takeoff-b8c11f07,The incident has gone viral. Delta CEO Ed Bastian has asked the Justice Department to prosecute unruly passengers and place them on a no-fly list ...,-0.14775,Neutral,,-0.120101,Neutral,20230327T150300,"{'label': 'negative', 'score': 0.9127954840660095}"
12,"Dow Jones Rises; Elon Musk's Twitter Source Code Leaks Online, Cancer Drug Stock Jumps On Breakthrough",https://www.investors.com/market-trend/stock-market-today/dow-jones-rises-elon-musks-twitter-source-code-leaks-online/,Dow Jones Rises. Elon Musk's Twitter Source Code Leaks Online ... Investor's Business Daily ...,0.026588,Neutral,,0.114579,Neutral,20230327T144900,"{'label': 'neutral', 'score': 0.61609947681427}"
13,6 stocks recommended for an industry hitting a 'sweet spot',https://www.marketwatch.com/story/6-stocks-recommended-for-an-industry-hitting-a-sweet-spot-31276f41,Analysts at TD Cowen see a rosy scenario for the commercial aerospace aftermarket for years to come.,0.214113,Somewhat-Bullish,,0.127907,Neutral,20230327T143900,"{'label': 'positive', 'score': 0.6541165709495544}"
14,Russian carrier Aeroflot increases flight frequency on Delhi-Moscow route,https://www.business-standard.com/india-news/russian-carrier-aeroflot-increases-flight-frequency-on-delhi-moscow-route-123032700511_1.html,Russian carrier Aeroflot increases flight frequency on Delhi-Moscow ... Business Standard ...,0.153576,Somewhat-Bullish,,0.044336,Neutral,20230327T104000,"{'label': 'positive', 'score': 0.8989608287811279}"
15,Should You Invest in the Invesco Aerospace & Defense ETF  ( PPA ) ?,https://www.zacks.com/stock/news/2070606/should-you-invest-in-the-invesco-aerospace-defense-etf-ppa,Sector ETF report for PPA ...,0.199724,Somewhat-Bullish,,0.068615,Neutral,20230327T102009,"{'label': 'neutral', 'score': 0.9238545894622803}"
16,"Urban Air Mobility Market to grow at a CAGR of 27.5% from 2022 to 2027, Driven by the growing use of eVTOL aircraft in military applications - Technavio",https://www.prnewswire.com/news-releases/urban-air-mobility-market-to-grow-at-a-cagr-of-27-5-from-2022-to-2027--driven-by-the-growing-use-of-evtol-aircraft-in-military-applications---technavio-301780842.html,Urban Air Mobility Market to grow at a CAGR of 27.5% from 2022 to ... PR ...,0.19059,Somewhat-Bullish,,0.024165,Neutral,20230327T093000,"{'label': 'positive', 'score': 0.9260885119438171}"
17,Why Boeing Stock Could Be a Risky Buy Right Now,https://www.fool.com/investing/2023/03/27/why-boeing-stock-could-be-a-risky-buy-right-now/,The market's tolerance for operational mishaps at the aerospace giant was tested recently.,-0.007337,Neutral,,-0.089491,Neutral,20230327T092200,"{'label': 'positive', 'score': 0.9194582104682922}"
18,First-year comparison shows Akasa Air clearly besting IndiGo,https://www.moneycontrol.com/news/business/first-year-comparison-shows-akasa-air-clearly-besting-indigo-10317101.html,Akasa Air will close its first financial year with more planes and higher market share than IndiGo in its first year. But it will have a tough time emulating IndigGo's subsequent growth blitz.,0.058633,Neutral,,-0.005747,Neutral,20230327T065033,"{'label': 'negative', 'score': 0.7265661954879761}"
19,Helicopter Crashes In Iraqi Kurdistan Reminder That Peshmerga Lacks Basic Airpower,https://www.forbes.com/sites/pauliddon/2023/03/26/helicopter-crashes-in-iraqi-kurdistan-reminder-that-peshmerga-lacks-basic-airpower/,"As an autonomous region within Iraq, it cannot independently import such advanced military hardware.",-0.01231,Neutral,,0.105996,Neutral,20230326T121003,"{'label': 'neutral', 'score': 0.9258820414543152}"
20,Anurag Thakur pitches for larger airport at Himachal's Dharamshala,https://www.business-standard.com/india-news/anurag-thakur-pitches-for-larger-airport-at-himachal-s-dharamshala-123032600189_1.html,Union minister Anurag Thakur on Sunday made a strong pitch for the expansion of Himachal Pradesh's Dharamshala airport to provide direct and seamless connectivity to the region.,0.088689,Neutral,,0.076647,Neutral,20230326T115300,"{'label': 'positive', 'score': 0.9340190291404724}"
21,How Much Are Space Stocks Worth?,https://www.fool.com/investing/2023/03/26/how-much-are-space-stocks-worth/,How much should you pay for an unprofitable space stock?,0.064308,Neutral,,0.065116,Neutral,20230326T110700,"{'label': 'neutral', 'score': 0.7694165706634521}"
22,Biden's choice for FAA administrator withdraws nomination after lack of Senate support,https://www.foxbusiness.com/politics/bidens-choice-faa-administrator-withdraws-nomination-after-lack-senate-support,President Joe Biden's choice for head of the Federal Aviation Administration withdrew his nomination after the Senate failed to gather enough support to move the appointment out of committee.,0.067138,Neutral,,0.0,Neutral,20230326T053522,"{'label': 'negative', 'score': 0.9178229570388794}"
23,President Joe Biden's pick to lead FAA withdraws amid shaky Senate support | The Financial Express,https://www.financialexpress.com/world-news/president-joe-bidens-pick-to-lead-faa-withdraws-amid-shaky-senate-support/3022293/,President Joe Biden's pick to lead FAA withdraws amid shaky ... The Financial Express ...,0.043808,Neutral,,-0.217323,Somewhat-Bearish,20230326T043923,"{'label': 'negative', 'score': 0.9320889711380005}"
24,Exclusive: Biden nominee to head FAA withdraws after Republican attacks,https://www.reuters.com/business/aerospace-defense/biden-nominee-head-faa-withdraws-after-republican-attacks-sources-2023-03-26/,Exclusive: Biden nominee to head FAA withdraws after Republican ... ...,-0.019503,Neutral,,-0.071217,Neutral,20230326T011200,"{'label': 'negative', 'score': 0.684413492679596}"
25,Northrop's Space Business Is About to Get $2 Billion Bigger,https://www.fool.com/investing/2023/03/25/northrops-space-business-is-about-to-get-2-billion/,Twenty years in the space station supply business set Northrop up for an even longer future in space.,0.201816,Somewhat-Bullish,,0.097205,Neutral,20230325T110700,"{'label': 'positive', 'score': 0.8740748167037964}"
26,American Airlines to temporarily suspend route due to Boeing dreamliner delays,https://www.foxbusiness.com/markets/american-airlines-temporarily-suspend-route-due-boeing-dreamliner-delays,"Boeing Co.'s delays in delivering 787 Dreamliners are again rippling into American Airlines Group Inc.'s flying schedule. The Fort Worth, Texas-based carrier said Friday it would suspend its Philadelphia-Madrid route for a few weeks in May and early June, citing delivery delays for the jets.",0.004819,Neutral,,0.0334,Neutral,20230324T195434,"{'label': 'negative', 'score': 0.9600446224212646}"
27,American Airlines to pause a route due to Boeing Dreamliner delays,https://www.reuters.com/business/aerospace-defense/american-airlines-pause-route-due-boeing-dreamliner-delays-2023-03-24/,"[1/3] American Airlines agent helps a customer to check in for her flight at O'Hare International Airport ahead of the Thanksgiving holiday during the coronavirus disease ( COVID-19 ) pandemic, in Chicago, Illinois, U.S. November 25, 2020. REUTERS/Kamil Krzaczynski",0.04732,Neutral,,-0.006406,Neutral,20230324T184052,"{'label': 'neutral', 'score': 0.7872880101203918}"
28,News Exclusive | American Airlines to Temporarily Suspend Route Due to Boeing Dreamliner Delays,https://www.wsj.com/articles/american-airlines-to-temporarily-suspend-route-due-to-boeing-dreamliner-delays-1573a5b0,The airline will suspend the Philadelphia-Madrid route for several weeks in May and early June.,0.08566,Neutral,,-0.329291,Somewhat-Bearish,20230324T174600,"{'label': 'negative', 'score': 0.9089652895927429}"
29,How Is The Market Feeling About Boeing? - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/short-sellers/23/03/31495104/how-is-the-market-feeling-about-boeing,"Boeing's BA short percent of float has fallen 9.46% since its last report. The company recently reported that it has 8.01 million shares sold short, which is 1.34% of all regular shares that are available for trading. Based on its trading volume, it would take traders 1.2 days to cover their ...",0.241618,Somewhat-Bullish,,0.085754,Neutral,20230324T170041,"{'label': 'negative', 'score': 0.9697722792625427}"
30,Thanks a Million! Avelo Flies One Millionth Customer at Tweed Airport,https://www.prnewswire.com/news-releases/thanks-a-million-avelo-flies-one-millionth-customer-at-tweed-airport-301780608.html,"NEW HAVEN, Conn., March 24, 2023 /PRNewswire/ -- Just 16 months after taking flight from Tweed-New Haven Airport ( HVN ) , Avelo Airlines is flying its one millionth Customer today at HVN. To celebrate the milestone, Avelo Founder, Chairman and CEO Andrew Levy will be at Tweed surprising ...",0.395565,Bullish,,0.134878,Neutral,20230324T170000,"{'label': 'neutral', 'score': 0.8157221078872681}"
31,Check Out What Whales Are Doing With Boeing - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/markets/options/23/03/31491819/check-out-what-whales-are-doing-with-boeing,"Someone with a lot of money to spend has taken a bearish stance on Boeing BA. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.",0.096959,Neutral,,0.206987,Somewhat-Bullish,20230324T140125,"{'label': 'neutral', 'score': 0.7005860209465027}"
32,Army Failure To Embrace Chinook Helicopter Upgrades Endangers Industrial Base,https://www.forbes.com/sites/lorenthompson/2023/03/24/army-failure-to-embrace-chinook-helicopter-upgrades-endangers-industrial-base/,Army planners need to think more rigorously about the industrial fallout from their program choices.,-0.060555,Neutral,,-0.128048,Neutral,20230324T134719,"{'label': 'neutral', 'score': 0.8627047538757324}"
33,"Akasa Air to hire nearly 1,000 people by March 2024: CEO Vinay Dube",https://www.business-standard.com/article/current-affairs/akasa-air-to-hire-nearly-1-000-people-by-march-2024-ceo-vinay-dube-123032400960_1.html,"It has placed an order for 72 Boeing 737 Max aircraft, and 19 of them are already in its fleet. The 20th aircraft will be inducted in April, following which it will also be eligible to fly overseas ...",0.182583,Somewhat-Bullish,,0.171599,Somewhat-Bullish,20230324T133100,"{'label': 'positive', 'score': 0.6680936813354492}"
34,US core capital goods orders rise in February; January orders revised down,https://www.reuters.com/markets/us/us-core-capital-goods-orders-unexpectedly-rise-february-2023-03-24/,US core capital goods orders rise in February. January orders ... ...,-0.064713,Neutral,,-0.098322,Neutral,20230324T131907,"{'label': 'negative', 'score': 0.5308173894882202}"
35,Lockheed  ( LMT )  Wins Deal to Offer Training for F-16 Jets,https://www.zacks.com/stock/news/2070103/lockheed-lmt-wins-deal-to-offer-training-for-f-16-jets,Lockheed (LMT) is going to offer aircraft maintenance and pilot training for nations that have already purchased F-16 jets.,0.238113,Somewhat-Bullish,,0.171624,Somewhat-Bullish,20230324T131700,"{'label': 'neutral', 'score': 0.6864562034606934}"
36,QuoteMedia Achieves SOC 2 Type II Certification,https://www.globenewswire.com/news-release/2023/03/24/2633934/24049/en/QuoteMedia-Achieves-SOC-2-Type-II-Certification.html,"PHOENIX, March 24, 2023 ( GLOBE NEWSWIRE ) -- QuoteMedia, Inc. ( OTCQB: QMCI ) , a leading provider of market data and financial applications, today announced that it has achieved SOC 2 Type II accreditation.",0.352618,Bullish,,0.161412,Somewhat-Bullish,20230324T120000,"{'label': 'positive', 'score': 0.900266706943512}"
37,QuoteMedia Achieves SOC 2 Type II Certification - QuoteMedia  ( OTC:QMCI ) ,https://www.benzinga.com/pressreleases/23/03/g31489441/quotemedia-achieves-soc-2-type-ii-certification,"PHOENIX, March 24, 2023 ( GLOBE NEWSWIRE ) -- QuoteMedia, Inc. QMCI, a leading provider of market data and financial applications, today announced that it has achieved SOC 2 Type II accreditation.",0.329104,Somewhat-Bullish,,0.152153,Somewhat-Bullish,20230324T120000,"{'label': 'positive', 'score': 0.8832598924636841}"
38,"India Ready For Airbus, Boeing To Set Up Jet Assembly Plants: Report - Airbus  ( OTC:EADSY ) , Boeing  ( NYSE:BA ) ",https://www.benzinga.com/news/23/03/31489110/india-ready-for-airbus-boeing-to-set-up-jet-assembly-plants-report,"Airbus SE EADSY and Boeing Co BA are under increasing pressure to build jetliner plants in India. India's civil aviation minister told Reuters the ""time has come"" to serve its surging demand with domestically produced aircraft.",0.149763,Neutral,,0.22075,Somewhat-Bullish,20230324T115537,"{'label': 'positive', 'score': 0.4034271836280823}"
39,How Russian Airlines Have Been Able To Skirt Sanctions And Keep Flying,https://www.forbes.com/sites/jeremybogaisky/2023/03/24/how-russian-airlines-have-been-able-to-skirt-sanctions-and-keep-flying/,Russian carriers have been able to scrounge enough spare parts to maintain robust service across their vast country.,0.035821,Neutral,,-0.03645,Neutral,20230324T103000,"{'label': 'positive', 'score': 0.9478437900543213}"
40,Should You Invest in the iShares U.S. Aerospace & Defense ETF  ( ITA ) ?,https://www.zacks.com/stock/news/2069993/should-you-invest-in-the-ishares-us-aerospace-defense-etf-ita,Sector ETF report for ITA ...,0.194351,Somewhat-Bullish,,0.070997,Neutral,20230324T102007,"{'label': 'neutral', 'score': 0.9336276650428772}"
41,Here's the Big Mystery About Boeing's Second-Biggest Business,https://www.fool.com/investing/2023/03/24/a-big-mystery-in-boeings-second-biggest-business/,"Boeing's ""BDS"" defense and space division is a black box for investors. What lies within?",0.05484,Neutral,,0.032716,Neutral,20230324T092100,"{'label': 'neutral', 'score': 0.5910784602165222}"
42,"India says 'time has come' for Airbus, Boeing to set up jet assembly plants | The Financial Express",https://www.financialexpress.com/industry/india-says-time-has-come-for-airbus-boeing-to-set-up-jet-assembly-plants/3020853/,"India says 'time has come' for Airbus, Boeing to set up jet assembly ... The Financial Express ...",0.155997,Somewhat-Bullish,,0.192295,Somewhat-Bullish,20230324T071244,"{'label': 'positive', 'score': 0.5412020683288574}"
43,"Exclusive: India says 'time has come' for Airbus, Boeing to set up jet assembly plants",https://www.reuters.com/business/aerospace-defense/india-says-time-has-come-airbus-boeing-set-up-jet-assembly-plants-2023-03-24/,"Exclusive: India says 'time has come' for Airbus, Boeing to set up jet ... ...",0.156178,Somewhat-Bullish,,0.201229,Somewhat-Bullish,20230324T053017,"{'label': 'positive', 'score': 0.5490404367446899}"
44,Financial turbulence widens door to private equity in fast-growing aerospace sector,https://www.reuters.com/business/aerospace-defense/financial-turbulence-widens-door-private-equity-fast-growing-aerospace-sector-2023-03-24/,Financial turbulence widens door to private equity in fast-growing ... ...,-0.036052,Neutral,,-0.139358,Neutral,20230324T050858,"{'label': 'neutral', 'score': 0.6993311047554016}"
45,India's travel industry may not overtake China soon but there are still 'massive' opportunities,https://www.cnbc.com/2023/03/24/india-outbound-travel-market-wont-overtake-chinas-soon-analyst.html,"India is ramping up spending on its aviation industry by billions of dollars, but its outbound travel market is unlikely to overtake China's anytime soon.",0.189328,Somewhat-Bullish,,0.041838,Neutral,20230324T042317,"{'label': 'positive', 'score': 0.9303033947944641}"
46,Boeing personnel working on Air Force One planes had lapsed security clearances,https://www.foxbusiness.com/markets/boeing-personnel-working-air-force-one-planes-lapsed-security-clearances,The Department of Defense and Boeing are investigating a security clearance lapse that resulted in hundreds of Boeing employees working on the secretive Air Force One planes with expired credentials before they were temporarily suspended.,-0.090943,Neutral,,-0.161105,Somewhat-Bearish,20230323T234037,"{'label': 'negative', 'score': 0.9586944580078125}"
47,"About 250 Boeing employees were working on Air Force One planes with expired security clearance, report says",https://africa.businessinsider.com/transportation/about-250-boeing-employees-were-working-on-air-force-one-planes-with-expired-security/4sysp6c,About 250 Boeing employees were working on Air Force One ... - Business Insider Africa ...,-0.055225,Neutral,,-0.05655,Neutral,20230323T195709,"{'label': 'neutral', 'score': 0.8479429483413696}"
48,"About 250 Boeing employees were working on Air Force One planes with expired security clearance, report says",https://www.businessinsider.com/boeing-workers-had-expired-security-clearance-air-force-one-report-2023-3,Boeing Allowed Unauthorized Staff to Work on Air Force One: Report - Business Insider ...,-0.088606,Neutral,,-0.144334,Neutral,20230323T195709,"{'label': 'negative', 'score': 0.8776138424873352}"
49,Virgin Orbit says space startup in talks with potential investors,https://www.reuters.com/markets/deals/virgin-orbit-says-space-startup-talks-with-potential-investors-2023-03-23/,"March 23 ( Reuters ) - Billionaire Richard Branson's cash-strapped satellite launch company Virgin Orbit Holdings ( VORB.O ) said on Thursday it is in talks with ""interested parties"" about an investment in the company.",0.140353,Neutral,,0.118114,Neutral,20230323T195000,"{'label': 'positive', 'score': 0.536128044128418}"
50,News Exclusive | Pentagon Probes Why Boeing Staff Worked on Air Force One Planes Without Security Credentials,https://www.wsj.com/articles/pentagon-probes-lapse-in-boeing-security-credentials-for-air-force-one-163e0703,About 250 Boeing workers in San Antonio had expired security credentials that are needed to work on highly classified presidential jets.,0.109497,Neutral,,0.209925,Somewhat-Bullish,20230323T190000,"{'label': 'negative', 'score': 0.9200477600097656}"
51,Pentagon Probes Boeing Security Credentials Lapse For Air Force One: Report - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/news/23/03/31480361/pentagon-probes-boeing-security-credentials-lapse-for-air-force-one-report,"Pentagon officials are probing about Boeing Co BA employees working on Air Force One planes without security credentials. The Defense Department and Boeing are also examining how long many workers with access to the jets lacked certain current security credentials, WSJ reported.",-0.124638,Neutral,,-0.262399,Somewhat-Bearish,20230323T183828,"{'label': 'negative', 'score': 0.8584927320480347}"
52,Julia Haywood elected as Chair of the Board of Directors of Flair Airlines,https://www.newswire.ca/news-releases/julia-haywood-elected-as-chair-of-the-board-of-directors-of-flair-airlines-893188339.html,Julia Haywood elected as Chair of the Board of Directors of Flair ... Canada ...,0.240548,Somewhat-Bullish,,0.135019,Neutral,20230323T181500,"{'label': 'neutral', 'score': 0.8864680528640747}"
53,Every setback is an opportunity for Ryanair,https://www.economist.com/business/2023/03/23/every-setback-is-an-opportunity-for-ryanair,Europe's biggest airline has once again outmanoeuvred rivals ...,0.079509,Neutral,,-0.058992,Neutral,20230323T151704,"{'label': 'positive', 'score': 0.9466714262962341}"
54,"Powell: 'More Hikes Are Coming', Market: 'No They're Not'",https://www.benzinga.com/markets/cryptocurrency/23/03/31475465/powell-more-hikes-are-coming-market-no-theyre-not,"FED hiking rates will cause more losses on bank balance sheets. Unrealized losses are $620 billion, up from $8 billion a year ago. Yellen said the FDIC will NOT guarantee ALL deposits. Meanwhile, equity and bond holders of regional banks can get wiped out overnight if there's a bank run.",-0.014623,Neutral,,-0.021476,Neutral,20230323T140143,"{'label': 'negative', 'score': 0.9463288187980652}"
55,"Top Stories Thursday, Mar. 23: Apple, In A Cinema Near You Soon, Elon Musk Seeks Funding For SpaceX From Middle-Eastern Fund - Manchester United  ( NYSE:MANU ) ",https://www.benzinga.com/general/biotech/23/03/31474197/apple-jumps-movie-production-bandwagon-billionaire-jim-ratcliffe-bids-for-manchester-united-elon-,Apple Inc AAPL eyes splurging $1 billion annually to produce movies likely for theatrical release to draw subscribers to its streaming service. Apple has approached movie studios about partnering to release a few titles in theaters this year and a slate of more films in the future.,0.138487,Neutral,,0.0,Neutral,20230323T132340,"{'label': 'positive', 'score': 0.7120544910430908}"
56,Boeing Stock Dropped on Two Counts. Four Reasons It Can Bounce Back.,https://www.barrons.com/articles/boeing-stock-four-reasons-bounce-back-fed-8b21e7c2,"Tankers, MAX jets, manufacturing, the Fed. The past couple of days have left Boeing investors with a lot to digest. Shares are down in response to all the news, but investors might be overlooking the good while focusing on the bad. Boeing ( ticker: BA ) stock dropped $8.54, or 4.2%, Wednesday, ...",0.095753,Neutral,,0.171798,Somewhat-Bullish,20230323T114539,"{'label': 'negative', 'score': 0.970294713973999}"
57,Japan Airlines Orders 21 Boeing 737-8 Jets - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/news/23/03/31470486/japan-airlines-orders-21-boeing-737-8-jets,Japan Airlines Co JAPSY has ordered 21 super-efficient Boeing Co BA 737-8 jets. Terms were not disclosed. Japan Airlines seeks to strengthen its domestic and regional network as passenger traffic continues to return to pre-pandemic levels. It intends to begin introducing the airplanes into its ...,0.150137,Somewhat-Bullish,,0.258496,Somewhat-Bullish,20230323T112356,"{'label': 'positive', 'score': 0.9096004962921143}"
58,United Launch Alliance Is For Sale: How Much Is It Worth?,https://www.fool.com/investing/2023/03/23/how-much-is-united-launch-alliance-worth/,How much ULA is worth may depend a lot on who decides to buy it -- and why.,0.182713,Somewhat-Bullish,,0.228504,Somewhat-Bullish,20230323T110700,"{'label': 'neutral', 'score': 0.9269301891326904}"
59,"AAR Corp.  ( AIR )  Q3 Earnings Surpass Estimates, Sales Rise Y/Y",https://www.zacks.com/stock/news/2069424/aar-corp-air-q3-earnings-surpass-estimates-sales-rise-yy,"AAR Corp. (AIR) reports third-quarter fiscal 2023 adjusted earnings of 75 cents per share, which surpass the Zacks Consensus Estimate by 10.3%.",0.112547,Neutral,,0.073971,Neutral,20230323T104300,"{'label': 'positive', 'score': 0.9253627061843872}"
60,Israel's El Al to resume India flights using Saudi corridor,https://www.reuters.com/business/aerospace-defense/israels-el-al-resume-india-flights-using-saudi-corridor-2023-03-23/,"JERUSALEM, March 23 ( Reuters ) - El Al Israel Airlines ( ELAL.TA ) said on Thursday it would resume flights to India in October after a three-year absence, citing shorter flight times due to the ability to fly over Saudi Arabia and Oman.",0.104937,Neutral,,-0.085089,Neutral,20230323T090500,"{'label': 'negative', 'score': 0.9230039715766907}"
61,Japan Airlines and Boeing reach deal for 21 737 MAX jets,https://www.reuters.com/business/aerospace-defense/japan-airlines-boeing-reach-deal-21-737-max-jets-2023-03-23/,"[1/2] An employee of Japan Airlines ( JAL ) wearing a protective face mask bows to passengers next to the company logo, amid the coronavirus disease ( COVID-19 ) outbreak, at the Tokyo International Airport, commonly known as Haneda Airport in Tokyo, Japan October 30, 2020. REUTERS/Issei Kato",-0.002411,Neutral,,-0.128576,Neutral,20230323T060800,"{'label': 'neutral', 'score': 0.7939452528953552}"
62,Japan Airlines Selects 737-8 to Grow Sustainable World-Class Fleet - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/pressreleases/23/03/n31468956/japan-airlines-selects-737-8-to-grow-sustainable-world-class-fleet,"SEATTLE, March 23, 2023 /PRNewswire/ -- Boeing BA and Japan Airlines ( JAL ) have finalized an order for 21 super-efficient 737-8 jets. The versatile 737-8 will position JAL to strengthen its domestic and regional network as passenger traffic continues to return to pre-pandemic levels.",0.344125,Somewhat-Bullish,,0.486634,Bullish,20230323T060100,"{'label': 'positive', 'score': 0.9493901133537292}"
63,Australia grants interim nod to Qantas-Emirates transport alliance,https://www.reuters.com/business/aerospace-defense/australia-grants-interim-nod-qantas-emirates-transport-alliance-2023-03-23/,"[1/2] Emirates Airline Boeing 777-300ER planes are seen at Dubai International Airport in Dubai, United Arab Emirates, February 15, 2019. REUTERS/Christopher Pike",0.104307,Neutral,,0.18278,Somewhat-Bullish,20230323T054900,"{'label': 'neutral', 'score': 0.9312186241149902}"
64,Ryanair's O'Leary says talks restarted with Boeing for new aircraft order - FT,https://www.reuters.com/business/aerospace-defense/ryanairs-oleary-says-talks-restarted-with-boeing-new-aircraft-order-ft-2023-03-23/,Ryanair's O'Leary says talks restarted with Boeing for new aircraft ... ...,0.044261,Neutral,,0.131793,Neutral,20230323T054400,"{'label': 'positive', 'score': 0.8983889222145081}"
65,Lynx Air Expands Services from Hamilton and Kelowna,https://www.benzinga.com/pressreleases/23/03/g31465800/lynx-air-expands-services-from-hamilton-and-kelowna,"CALGARY, Alberta, March 22, 2023 ( GLOBE NEWSWIRE ) -- Lynx Air ( Lynx ) today announced the addition of two new routes from Hamilton to Vancouver and from Toronto to Kelowna, providing new ultra-affordable options between these popular destinations.",0.245347,Somewhat-Bullish,,0.116991,Neutral,20230322T212437,"{'label': 'positive', 'score': 0.9222851991653442}"
